unit_id,spike_count,orientation,phase,spatial_frequency
951092437,233,150.0,0.25,0.16
951092798,106,150.0,0.25,0.16
951092940,339,150.0,0.25,0.16
951092949,276,150.0,0.25,0.16
951092973,328,150.0,0.25,0.16
951092437,220,150.0,0.0,0.08
951092798,133,150.0,0.0,0.08
951092940,297,150.0,0.0,0.08
951092949,264,150.0,0.0,0.08
951092973,310,150.0,0.0,0.08
951092437,125,120.0,0.25,0.32
951092798,120,120.0,0.25,0.32
951092940,319,120.0,0.25,0.32
951092949,261,120.0,0.25,0.32
951092973,195,120.0,0.25,0.32
951092437,128,60.0,0.25,0.16
951092798,162,60.0,0.25,0.16
951092940,358,60.0,0.25,0.16
951092949,283,60.0,0.25,0.16
951092973,292,60.0,0.25,0.16
951092437,142,30.0,0.0,0.02
951092798,54,30.0,0.0,0.02
951092940,298,30.0,0.0,0.02
951092949,296,30.0,0.0,0.02
951092973,265,30.0,0.0,0.02
951092437,225,30.0,0.75,0.16
951092798,117,30.0,0.75,0.16
951092940,347,30.0,0.75,0.16
951092949,254,30.0,0.75,0.16
951092973,342,30.0,0.75,0.16
951092437,195,60.0,0.0,0.04
951092798,145,60.0,0.0,0.04
951092940,300,60.0,0.0,0.04
951092949,274,60.0,0.0,0.04
951092973,282,60.0,0.0,0.04
951092437,288,0.0,0.5,0.08
951092798,133,0.0,0.5,0.08
951092940,349,0.0,0.5,0.08
951092949,267,0.0,0.5,0.08
951092973,395,0.0,0.5,0.08
951092437,102,60.0,0.0,0.16
951092798,149,60.0,0.0,0.16
951092940,361,60.0,0.0,0.16
951092949,263,60.0,0.0,0.16
951092973,250,60.0,0.0,0.16
951092437,153,0.0,0.75,0.32
951092798,92,0.0,0.75,0.32
951092940,305,0.0,0.75,0.32
951092949,232,0.0,0.75,0.32
951092973,236,0.0,0.75,0.32
951092437,384,30.0,0.5,0.08
951092798,126,30.0,0.5,0.08
951092940,358,30.0,0.5,0.08
951092949,282,30.0,0.5,0.08
951092973,445,30.0,0.5,0.08
951092437,124,90.0,0.0,0.32
951092798,124,90.0,0.0,0.32
951092940,321,90.0,0.0,0.32
951092949,263,90.0,0.0,0.32
951092973,228,90.0,0.0,0.32
951092437,131,120.0,0.25,0.04
951092798,189,120.0,0.25,0.04
951092940,331,120.0,0.25,0.04
951092949,366,120.0,0.25,0.04
951092973,241,120.0,0.25,0.04
951092437,162,120.0,0.75,0.04
951092798,167,120.0,0.75,0.04
951092940,331,120.0,0.75,0.04
951092949,319,120.0,0.75,0.04
951092973,199,120.0,0.75,0.04
951092437,200,30.0,0.25,0.32
951092798,99,30.0,0.25,0.32
951092940,321,30.0,0.25,0.32
951092949,260,30.0,0.25,0.32
951092973,213,30.0,0.25,0.32
951092437,147,150.0,0.5,0.32
951092798,101,150.0,0.5,0.32
951092940,305,150.0,0.5,0.32
951092949,265,150.0,0.5,0.32
951092973,200,150.0,0.5,0.32
951092437,172,120.0,0.75,0.32
951092798,111,120.0,0.75,0.32
951092940,302,120.0,0.75,0.32
951092949,270,120.0,0.75,0.32
951092973,163,120.0,0.75,0.32
951092437,176,120.0,0.25,0.16
951092798,165,120.0,0.25,0.16
951092940,314,120.0,0.25,0.16
951092949,293,120.0,0.25,0.16
951092973,236,120.0,0.25,0.16
951092437,261,0.0,0.25,0.04
951092798,126,0.0,0.25,0.04
951092940,337,0.0,0.25,0.04
951092949,271,0.0,0.25,0.04
951092973,338,0.0,0.25,0.04
951092437,134,0.0,0.5,0.02
951092798,49,0.0,0.5,0.02
951092940,383,0.0,0.5,0.02
951092949,300,0.0,0.5,0.02
951092973,280,0.0,0.5,0.02
951092437,172,90.0,0.75,0.16
951092798,211,90.0,0.75,0.16
951092940,302,90.0,0.75,0.16
951092949,284,90.0,0.75,0.16
951092973,257,90.0,0.75,0.16
951092437,163,60.0,0.25,0.04
951092798,148,60.0,0.25,0.04
951092940,292,60.0,0.25,0.04
951092949,254,60.0,0.25,0.04
951092973,272,60.0,0.25,0.04
951092437,259,60.0,0.75,0.02
951092798,77,60.0,0.75,0.02
951092940,329,60.0,0.75,0.02
951092949,282,60.0,0.75,0.02
951092973,259,60.0,0.75,0.02
951092437,166,0.0,0.75,0.02
951092798,50,0.0,0.75,0.02
951092940,293,0.0,0.75,0.02
951092949,282,0.0,0.75,0.02
951092973,231,0.0,0.75,0.02
951092437,121,0.0,0.25,0.02
951092798,51,0.0,0.25,0.02
951092940,336,0.0,0.25,0.02
951092949,274,0.0,0.25,0.02
951092973,270,0.0,0.25,0.02
951092437,163,60.0,0.25,0.32
951092798,130,60.0,0.25,0.32
951092940,294,60.0,0.25,0.32
951092949,238,60.0,0.25,0.32
951092973,203,60.0,0.25,0.32
951092437,136,90.0,0.75,0.08
951092798,334,90.0,0.75,0.08
951092940,316,90.0,0.75,0.08
951092949,338,90.0,0.75,0.08
951092973,334,90.0,0.75,0.08
951092437,377,30.0,0.25,0.08
951092798,100,30.0,0.25,0.08
951092940,399,30.0,0.25,0.08
951092949,286,30.0,0.25,0.08
951092973,435,30.0,0.25,0.08
951092437,258,0.0,0.0,0.04
951092798,136,0.0,0.0,0.04
951092940,294,0.0,0.0,0.04
951092949,310,0.0,0.0,0.04
951092973,307,0.0,0.0,0.04
951092437,190,30.0,0.25,0.02
951092798,41,30.0,0.25,0.02
951092940,347,30.0,0.25,0.02
951092949,304,30.0,0.25,0.02
951092973,247,30.0,0.25,0.02
951092437,191,60.0,0.25,0.08
951092798,209,60.0,0.25,0.08
951092940,349,60.0,0.25,0.08
951092949,307,60.0,0.25,0.08
